,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
405,Drama,Short,Una 45 para los gastos del mes,2000,2.0,tt0429481
406,Drama,Short,Alguien vio a Lola?,2000,,tt0429557
407,Drama,Short,Pour une fois,2000,,tt0430483
408,Drama,Short,Field of Fish,2000,10.0,tt0430089
409,Drama,Short,Bala bume bum!,2000,,tt0430903
410,Drama,Short,El silencio del tiempo,2000,,tt0431401
411,Drama,Short,Neap Tide,2000,11.0,tt0431937
412,Drama,Short,La vanidad de los egipcios,2000,,tt0431455
413,Drama,Short,Sr. X,2000,,tt0433071
414,Drama,Short,Recovery Room,2000,9.0,tt0434303
415,Drama,Short,The Painted Lady,2000,,tt0433613
416,Drama,Short,Becoming American,2000,5.0,tt0436102
417,Drama,Short,Oxigeno,2000,,tt0438940
418,Drama,Short,Azar,2000,,tt0439122
419,Drama,Short,Rogelio,2000,,tt0439285
420,Drama,Short,Eulogy,2000,10.0,tt0440376
421,Drama,Short,El valor de la amistad,2000,,tt0439325
422,Drama,Short,Antes meridiano,2000,,tt0439118
423,Drama,Short,Best Man,2000,,tt0439461
424,Drama,Short,Quiero morir,2000,,tt0441448
425,Drama,Short,"Samantha Stewart, Aged 14",2000,,tt0442832
426,Drama,Short,Portrait,2000,11.0,tt0442695
427,Drama,Short,Real,2000,,tt0443342
428,Drama,Short,Winter Solstice,2000,,tt0445068
429,Drama,Short,Tolerance,2000,,tt0447708
430,Drama,Short,Threesome,2000,4.0,tt0449657
431,Drama,Short,The White Room,2000,,tt0447720
432,Drama,Short,Pink No. 22,2000,8.0,tt0452044
433,Drama,Short,Junior Creative,2000,2.0,tt0450452
434,Drama,Short,Simple Things,2000,8.0,tt0450499
435,Drama,Short,Wake Up Gone,2000,10.0,tt0452892
436,Drama,Short,Ämblikulõng,2000,3.0,tt0452546
437,Drama,Short,Jan-Yusuf,2000,7.0,tt0452267
438,Drama,Short,Autist,2000,6.0,tt0452746
439,Drama,Short,Where to Find God on Sunday,2000,11.0,tt0456185
440,Drama,Short,First Touch,2000,6.0,tt0454604
441,Drama,Short,The Big Fish,2000,1.0,tt0456856
442,Drama,Short,The Big Picture,2000,6.0,tt0459208
443,Drama,Short,De kluis,2000,,tt0459434
444,Drama,Short,Adam,2000,,tt0460705
445,Drama,Short,Walpurgisnacht,2000,,tt0460986
446,Drama,Short,The Test,2000,3.0,tt0460582
447,Drama,Short,Orama,2000,5.0,tt0466471
448,Drama,Short,Anche tu,2000,6.0,tt0466428
449,Drama,Short,Tierra de calabazas,2000,,tt0467701
450,Drama,Short,Fish,2000,,tt0468737
451,Drama,Short,Deich gCoisceim,2000,,tt0471145
452,Drama,Short,Exit,2000,8.0,tt0471169
453,Drama,Short,In the Know,2000,12.0,tt0471207
