,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
147,Kelian Maréchaux,Desconocido,"['AKA', 'Les cadors', 'The Three Musketeers - Part II: Milady', ""Goutte d'or""]",['Actor'],Desconocido,--
148,Louise Rossignon,Desconocido,"['Demi-frères', 'Photographe', 'Cast', 'Alpha Girls']","['Producer', 'Actress', 'Writer']",Desconocido,--
149,Guillaume Soudon,Desconocido,['Alpha Girls'],['Actor'],Desconocido,--
150,Yann Szpak,Desconocido,"['Demi-frères', 'Alpha Girls', 'Noir ou Blanc', 'Telma']",['Actor'],Desconocido,--
151,Jeanne Tourtelier,Desconocido,['Alpha Girls'],['Actress'],Desconocido,--
152,Baptiste Bosio,Desconocido,['Demi-frères'],['Actor'],Desconocido,--
153,Jean-Nicolas Gaitte,Desconocido,"['Demi-frères', 'Je recherche homme']",['Actor'],Desconocido,--
154,Maxime Gleizes,Desconocido,"['November', 'Demi-frères', 'Méduse', 'Spirit of Ecstasy']",['Actor'],Desconocido,--
155,Maxime Lannot,Desconocido,"['Nostalgia', 'Demi-frères']",['Actor'],Desconocido,--
156,Laura Scibona,Desconocido,"['French Lolitas', 'Unleash La Série', 'Demi-frères', '18 Years Old and Rising']","['Actress', 'Second Unit Director or Assistant Director', 'Writer']",Desconocido,--
157,Romain Tarnaud,Desconocido,"['Demi-frères', 'Bienvenue aux Délices du Gel']",['Actor'],Desconocido,--
158,François Larrous Carreras,Desconocido,"[""L'Ultime Sentence""]",['Actor'],Desconocido,--
159,Jean Cassien Jacquemin,Desconocido,"[""L'Ultime Sentence""]",['Actor'],Desconocido,--
160,Vincent Peytou,Desconocido,"[""L'Ultime Sentence""]",['Actor'],Desconocido,--
161,Jean-René Privat,Desconocido,"['Boomerang', 'Wild Life', 'Marseille', 'Little White Lies 2']",['Actor'],Desconocido,--
162,Solène Van Accoleyen,Desconocido,"[""L'Ultime Sentence""]",['Actress'],Desconocido,--
163,Ángeles Cruz,1970,"['Nudo Mixteco', 'Valentina or the Serenity', 'Get the Gringo', 'Arcángel']","['Actress', 'Director', 'Writer']",10 wins & 14 nominations,--
164,Hoze Meléndez,Desconocido,"['Ángel', 'Almacenados', 'Encounter', 'I Dream in Another Language']","['Actor', 'Director', 'Writer']",4 wins & 4 nominations,--
165,Sergio Duarte,Desconocido,"['Seres: Genesis', 'Dualidad', 'Fábulas de almas perdidas', 'El Hombre de las gerberas']",['Actor'],Desconocido,--
166,Sergio Quiñones,1966,"['Indigentes, El lado oscuro de La Sociedad', 'Tres, menos es más', '1974: La posesión de Altair', 'Cora']","['Actor', 'Producer']",Desconocido,--
167,Carlota Duarte,Desconocido,['Ricky'],['Actress'],Desconocido,--
168,Chema Gayarre,Desconocido,"['Jesucristo García', 'Ricky']",['Actor'],Desconocido,--
169,Iván Carrera,Desconocido,"['Mitomaniac', 'El Cuervo', 'Estación de Penitencia', 'La vida sin ti']","['Actor', 'Editor', 'Producer']",Desconocido,--
170,Noelia Pamia,Desconocido,"['Suelo', 'La Bella Escondida', 'Crímenes de Carnaval', 'El Espejo']","['Actress', 'Art Director', 'Make-Up Department']",Desconocido,--
171,María Adriano,Desconocido,['Suelo'],['Actress'],Desconocido,--
172,Elizabeth Correa,Desconocido,['Aquí vivo'],['Actress'],Desconocido,--
173,Sabina Nares,Desconocido,['Aquí vivo'],['Actress'],Desconocido,--
174,Jazmin Rodriguez,Desconocido,['Aquí vivo'],['Actress'],Desconocido,--
175,Ricardo Segarra,Desconocido,"['Run', 'For Whom the Jingle Bell Tolls', 'Fall', 'Breakfast']","['Actor', 'Writer', 'Director']",Desconocido,--
176,Brandon Castillo,Desconocido,"['FBI', 'Blue Bloods', 'City on Fire', 'For Danny']",['Actor'],Desconocido,--
177,Levi Colon,Desconocido,['Duellum'],['Actor'],Desconocido,--
178,Sean Cooper,Desconocido,['Duellum'],['Actor'],Desconocido,--
179,Nathaniel Offer,Desconocido,['Duellum'],['Actor'],Desconocido,--
180,Mahshid Ajam,Desconocido,['2 Weeks Later'],['Actress'],Desconocido,--
181,Iran Aslani,Desconocido,['2 Weeks Later'],['Actress'],Desconocido,--
182,Saeed Darvish Nejad,Desconocido,"['Khane Hamin Jast', 'Childhood Time', '2 Weeks Later']",['Actor'],Desconocido,--
183,Babak Tehrani,Desconocido,"['Arezuha-ye Bozorg-e Taleb', 'Barkhord', 'Thunder and Lightning', '2 Weeks Later']",['Actor'],Desconocido,--
184,Zuzana Páleníková,Desconocido,"['It Becomes Her', 'Decision Game', 'Po cem muzi touzí 2', 'The Slap']",['Actress'],Desconocido,--
185,Victor Dohlsten,Desconocido,"['Hanna', 'Carnival Row', 'Genius']","['Actor', 'Writer', 'Music Department']",Desconocido,--
186,Matthew Loob,Desconocido,['The Slap'],['Actor'],Desconocido,--
187,Fozhan Khamsehpour,Desconocido,"['Naughty Amelia Jane', 'Miscellanea', 'Good News', ""Don't mention me""]",['Actress'],Desconocido,--
188,Shreayaa Das,Desconocido,"['The Maniac 2', 'The Maniac']",['Actor'],Desconocido,--
189,Aayush Raj,Desconocido,"['Lisa', 'Aasha', 'The Maniac 2', 'The Maniac']","['Actor', 'Cinematographer', 'Camera and Electrical Department']",Desconocido,--
190,Gauraang Samant,Desconocido,"['Nutmeg', 'The Maniac 2', 'The Maniac']","['Actor', 'Director', 'Writer']",Desconocido,--
191,Bajirao Gawali,Desconocido,['Najariya21'],['Actor'],Desconocido,--
192,Yojana Khaire,Desconocido,['Najariya21'],['Actress'],Desconocido,--
193,Shejal Sagar Kore,Desconocido,['Najariya21'],['Actress'],Desconocido,--
194,Milind Oak,Desconocido,"['Ahilya: Zunj Ekaki', 'Premay Namaha', 'Charandas Chor', 'Bhau Majha Pathirakha']",['Actor'],Desconocido,--
195,Pramod Shinde,Desconocido,"['Purnasatya', 'Bhau Bheej', 'Simmba', 'Thoshas Thosa']","['Actor', 'Director', 'Visual Effects']",Desconocido,--
196,Yogesh Soman,Desconocido,"['Drishyam', 'Uri: The Surgical Strike', 'Drishyam 2', 'Dandgi Muley']","['Actor', 'Director', 'Writer']",Desconocido,--
197,Kailash Waghmare,Desconocido,"['Tanhaji: The Unsung Warrior', 'Manatlya Unhat: In the Sunshine of the Mind', 'Bhikari', 'Khisa (Pocket)']","['Actor', 'Writer', 'Music Department']",Desconocido,--
198,Danny Krastek,Desconocido,"['Book X', 'Bagman', 'Google Meet Mayhem', 'The Mysterious Sound']","['Director', 'Writer', 'Editor']",Desconocido,--
199,Jess Eichen,Desconocido,['Bagman'],['Actress'],Desconocido,--
200,Angelina Stambouli,Desconocido,['Bagman'],['Actress'],Desconocido,--
201,Stacey Krastek,Desconocido,"['Bagman', 'Ghost Movie.', 'Daily Battles']",['Actress'],Desconocido,--
202,Elena del Río,1991,"['La isla de las Muñecas', 'Pacífico Norte', 'An Unknown Enemy', 'Daughter from Another Mother']",['Actress'],Desconocido,--
203,Julieta Egurrola,Desconocido,"['Deep Crimson', 'En el país de no pasa nada', 'Noise', 'Secondary Effects']",['Actress'],2 wins & 6 nominations,--
204,Léopold Bombard,Desconocido,"['Alors, je vous sers?']",['Actor'],Desconocido,--
205,Aïcha Coulibaly,Desconocido,"['Alors, je vous sers?']",['Actress'],Desconocido,--
206,Guy Didier-Laurent,Desconocido,"['Alors, je vous sers?']",['Actor'],Desconocido,--
207,Hugo Frélicot,Desconocido,"[""Offre D'Emploi"", 'Alors, je vous sers?']","['Director', 'Actor']",Desconocido,--
208,Galiam Leterrier,Desconocido,"['Alors, je vous sers?']",['Actor'],Desconocido,--
209,Satiam Leterrier,Desconocido,"['Alors, je vous sers?']",['Actor'],Desconocido,--
210,Gisèle Mathos,Desconocido,"['Alors, je vous sers?']",['Actress'],Desconocido,--
211,Eglantine Sans,Desconocido,"['Coco Fresh', ""Offre D'Emploi"", 'Phallus Honteux', 'Orage Par Ciel Clair']","['Actress', 'Director', 'Writer']",Desconocido,--
212,Véronique Souques,Desconocido,"['Shadow of the Vampire', 'Alors, je vous sers?', 'La bande du drugstore', 'Les filles destinées']","['Art Department', 'Actress', 'Additional Crew']",Desconocido,--
213,Guillaume Suarez-Pasos,Desconocido,"['Alors, je vous sers?']",['Actor'],Desconocido,--
214,Aalaap Tyagi,Desconocido,"['Six Nine Five (695)', 'Aunty Ka PG', 'Mujhe Mary Kom Banna Hai', 'Bobby']",['Actor'],Desconocido,--
215,Krishna Verma,Desconocido,"['Cappuccino', 'Life a second chance', 'Dhadkan Zindaggi Kii', 'Maddam Sir - Kuch Baat Hai Kyunki Jaazbaat Hai']","['Actor', 'Writer']",Desconocido,--
216,Aicha Baaro,Desconocido,['Chi-Toulou'],['Actress'],Desconocido,--
217,Carolle Bamogo,Desconocido,['Chi-Toulou'],['Actress'],Desconocido,--
218,Martin Compaore,Desconocido,['Chi-Toulou'],['Actor'],Desconocido,--
219,Seydou Compaore,Desconocido,['Chi-Toulou'],['Actor'],Desconocido,--
220,Adjaratou Dembele,Desconocido,['Chi-Toulou'],['Actress'],Desconocido,--
221,Nassa Poko Eli,Desconocido,"['Dankan', 'Chi-Toulou']",['Actor'],Desconocido,--
222,Rokia Gambo,Desconocido,['Chi-Toulou'],['Actress'],Desconocido,--
223,Aimée Chantal Hema,Desconocido,['Chi-Toulou'],['Actress'],Desconocido,--
224,Gaston Kaboré,1951,"['Zan Boko', 'Wend Kuuni', 'Buud Yam', 'Rabi']","['Director', 'Writer', 'Producer']",5 wins & 3 nominations,--
225,Awa Maiga,Desconocido,"['A qui la faute?', 'Chi-Toulou']",['Actress'],Desconocido,--
