,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
110,Sean Mann,Desconocido,['FreeLance'],"['Actor', 'Writer', 'Casting Director']",Desconocido,--
111,Jackson Williamson,1979,"['FreeLance', 'Gangsters and Zombies']",['Actor'],Desconocido,--
112,Tim Hensely,Desconocido,['FreeLance'],['Actor'],Desconocido,--
113,Nichole Harrison,Desconocido,['FreeLance'],['Actress'],Desconocido,--
114,Deboria Arrant,Desconocido,['FreeLance'],['Actor'],Desconocido,--
115,Trip Barnes,Desconocido,['FreeLance'],"['Actor', 'Camera and Electrical Department']",Desconocido,--
116,Corly Bryant,Desconocido,['FreeLance'],['Actor'],Desconocido,--
117,Mike Burton,Desconocido,['FreeLance'],['Actor'],Desconocido,--
118,Bee Chidsey,Desconocido,['FreeLance'],['Actor'],Desconocido,--
119,Satish Kaushik,Desconocido,"['In Your Name', 'Kaagaz', 'Pardesi Babu', 'Jaane Bhi Do Yaaro']","['Actor', 'Director', 'Producer']",6 wins & 8 nominations,--
120,Archana Puran Singh,Desconocido,[],[],Desconocido,--
121,Arun Shekhar,Desconocido,"['Holiday', 'Talaash: The Answer Lies Within', 'Laxmii', 'Akira']","['Actor', 'Writer', 'Sound Department']",Desconocido,--
122,Bennett Chabot,Desconocido,['Yellow Lights'],['Actor'],Desconocido,--
123,Aja Munsell,Desconocido,"['Yellow Lights', 'The Stoop', 'Vent', 'An Eye for an Eye']",['Actress'],Desconocido,--
124,Andrew Tsang,Desconocido,"['Yellow Lights', 'The Proud Family: Louder and Prouder', 'Strawberry Shortcake: Berry in the Big City']","['Additional Crew', 'Actor', 'Camera and Electrical Department']",Desconocido,--
125,Amanda Hurley,Desconocido,"['Mindfully, Mandy', 'Yellow Lights', 'Matinee of Madness', 'Inventory']","['Actress', 'Director', 'Writer']",1 win & 2 nominations,--
126,Luis Diego Cabezas,Desconocido,['Yellow Lights'],['Actor'],Desconocido,--
127,Mark Chang,Desconocido,['Yellow Lights'],['Actor'],Desconocido,--
128,Kimbette Fenol,Desconocido,"['The Box', ""World's Greatest Dad"", 'Cold Blood Canyon', 'Early Grave']","['Actress', 'Additional Crew']",Desconocido,--
129,Carl Herrmann,Desconocido,['Yellow Lights'],"['Actor', 'Sound Department']",Desconocido,--
130,Tom Kochem,Desconocido,"['Yellow Lights', 'Empty Room', 'Vent', 'Tail']","['Director', 'Writer', 'Editor']",Desconocido,--
131,Michael Moody,Desconocido,['Yellow Lights'],['Actor'],Desconocido,--
132,Derek Hall,Desconocido,['Dead Doornails'],['Actor'],Desconocido,--
133,Gloria D'Simone,Desconocido,['Dead Doornails'],"['Actress', 'Producer']",Desconocido,--
134,Christina De Los Reyes,Desconocido,"['Fifanella', 'Marriage of Inconvenience', 'Finding Your Weird', 'Monsters']","['Actress', 'Director', 'Writer']",Desconocido,--
135,Brian Weil,Desconocido,"['Super Girl', 'Dead Doornails', 'Suit Coat', 'Waxie Moon in Fallen Jewel']","['Producer', 'Actor', 'Make-Up Department']",Desconocido,--
136,Dylan Rohde,1983,"['The Grover Complex', 'Dead Doornails', 'Good Cop (Blank) Cop', 'Haunted Maze']","['Actor', 'Writer', 'Editor']",Desconocido,--
