,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
116,Scott Murphy,Desconocido,['S.E.E.D.'],"['Reparto', 'Guion']",Desconocido,--
117,Jordan Paris,Desconocido,['S.E.E.D.'],"['Reparto', 'Guion']",Desconocido,--
118,Jay Fawbush,Desconocido,['S.E.E.D.'],"['Reparto', 'Guion', 'Cámara y electricidad']",Desconocido,--
119,Jonathan Paris,Desconocido,"['S.E.E.D.', 'A Life Together', 'Outremer']","['Reparto', 'Composición']",Desconocido,--
120,George Murphy,Desconocido,['S.E.E.D.'],['Reparto'],Desconocido,--
121,Greg Holmes,Desconocido,['S.E.E.D.'],['Reparto'],Desconocido,--
122,Scott Pence,Desconocido,['S.E.E.D.'],['Reparto'],Desconocido,--
123,Jerry Munsie,Desconocido,['S.E.E.D.'],['Reparto'],Desconocido,--
124,Xiaoyu Yang,Desconocido,"['Wei wei yi xiao hen qing cheng', 'S.E.E.D.']","['Reparto', 'Efectos visuales']",Desconocido,--
125,Andrew Miller,Desconocido,['S.E.E.D.'],['Reparto'],Desconocido,--
126,Evan Hatt,Desconocido,"['Thief', 'Abrupt', 'Scenes from Being John Malkovich']","['Reparto', 'Equipos adicionales', 'Vestuario']",Desconocido,--
127,Edward Murray,Desconocido,"['Thief', 'Abrupt']","['Reparto', 'Vestuario', 'Localización']",Desconocido,--
128,Tjerk Bosman,Desconocido,"['Testlab', 'No Way Out 2', 'No Way Out 4', 'No Way Out 5']","['Reparto', 'Especialistas']",Desconocido,--
129,Ben Vogel,Desconocido,"['Killers at Midnight', 'Shot in the Dark', 'Pentatonix: On My Way Home', 'Sex CD']","['Dirección de fotografía y cámara', 'Cámara y electricidad', 'Dirección']",Desconocido,--
130,Eric Hoke,Desconocido,['Killers at Midnight'],"['Dirección', 'Reparto', 'Guion']",Desconocido,--
131,Graham Hoke,Desconocido,['Killers at Midnight'],['Reparto'],Desconocido,--
132,Andrew White,Desconocido,['Killers at Midnight'],['Reparto'],Desconocido,--
133,Cesar Camacho,Desconocido,"['Fast in the Bronx', 'Genesis 39']",['Reparto'],Desconocido,--
134,Michelle Cruz,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
135,Juan De Salas,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
136,Jayson Hernandez,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
137,Anfernee Lopez,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
138,Ana Mueses,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
139,Felipe Mueses,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
140,Irwin Mueses,Desconocido,"['Gangstars', 'The Instant Messenger', 'Ultimate Women Challenge', 'Ultimate Women Fighters']","['Producción', 'Reparto', 'Guion']",Desconocido,--
141,David Ortiz,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
142,Maria Portorreal,Desconocido,['Fast in the Bronx'],['Reparto'],Desconocido,--
143,Marshall Miskin,Desconocido,['Unexpected Race 3'],['Reparto'],Desconocido,--
144,Steve Pilling,Desconocido,"['150 Miles', 'Challenge of Faith', 'The Artifact', 'Unexpected Race 3']",['Reparto'],Desconocido,--
145,Jay Scoby,Desconocido,"['Time to Duel', 'Rubi', 'Challenge of Faith', 'Unexpected Race']","['Reparto', 'Dirección de fotografía y cámara']",Desconocido,--
146,Fawn Shields,Desconocido,"['Challenge of Faith', 'Unexpected Race 3', 'Unexpected Race', 'Guilt']","['Reparto', 'Equipos adicionales']",Desconocido,--
147,Greg Stout,Desconocido,"['Time Trap', 'Martha!', 'Hotel Rendezvous', 'Unexpected Race']","['Reparto', 'Cámara y electricidad', 'Dirección de fotografía y cámara']",Desconocido,--
148,Galen Davis,Desconocido,['Potentior'],['Reparto'],Desconocido,--
149,Cameron Jewell,Desconocido,"['Eternal', 'El pacto', 'Sport in America: Our Defining Stories', 'Potentior']","['Producción', 'Reparto', 'Equipos adicionales']",Desconocido,--
150,Joshua Meisel,Desconocido,['Potentior'],['Reparto'],Desconocido,--
151,Kevin Vermilion,Desconocido,['Potentior'],['Reparto'],Desconocido,--
152,Yoni Teitelbaum,Desconocido,['Potentior'],['Reparto'],Desconocido,--
153,Christopher Cornute,Desconocido,['Potentior'],['Reparto'],Desconocido,--
154,Dharma Tamm,Desconocido,['Potentior'],['Reparto'],Desconocido,--
155,Jason Foley,Desconocido,['Potentior'],['Reparto'],Desconocido,--
156,Nicholas Werner,Desconocido,"['All Your History Are Belong to Us', 'Est Mori', 'Potentior', 'Chinese Dream']","['Dirección', 'Guion', 'Reparto']",Desconocido,--
157,Tom Hurlbutt,Desconocido,['Potentior'],['Reparto'],Desconocido,--
158,Ross Griffiths,Desconocido,"['Red Night', 'Adrenaline Rush']","['Reparto', 'Especialistas', 'Dirección']",Desconocido,--
159,James Broom,Desconocido,['Red Night'],"['Reparto', 'Especialistas']",Desconocido,--
160,Tom Childs,Desconocido,"['Adrenaline Rush', 'Red Night']","['Reparto', 'Especialistas']",Desconocido,--
161,Miss Griffiths,Desconocido,['Red Night'],['Reparto'],Desconocido,--
162,Margot Smagowska,Desconocido,"['Dutch Dragons at Cannes', 'Fight for the Fire Dragons']","['Reparto', 'Vestuario', 'Diseño de vestuario']",Desconocido,--
163,Sonny Mirabella,Desconocido,"['Joy', 'Stiffs', 'Desperate Measures', 'All In']",['Reparto'],Desconocido,--
164,Joseph Zamparelli,Desconocido,"['Brotherhood', 'El escándalo Ted Kennedy', 'Interference', 'Crime Scene: The Bobby Ray Summers Story']","['Reparto', 'Especialistas']",Desconocido,--
165,Buddy Barnett,Desconocido,['The Walking Ink'],['Reparto'],Desconocido,--
166,Cocoa Conley,Desconocido,['The Walking Ink'],['Reparto'],Desconocido,--
167,Frank Mengwasser,Desconocido,['The Walking Ink'],['Reparto'],Desconocido,--
168,Allie Nau,Desconocido,['The Walking Ink'],['Reparto'],Desconocido,--
169,Samara Stcroix,Desconocido,['The Walking Ink'],"['Reparto', 'Producción']",Desconocido,--
170,Féodor Atkine,1948,"['Pauline en la playa', 'La última noche de Boris Grushenko', 'Ronin', 'Jardines colgantes']","['Reparto', 'Equipos adicionales']",3 premios y 1 nominación,--
171,Michel Bellot,Desconocido,"['Angel-A', 'Feedback']",['Reparto'],Desconocido,--
172,Fabrice Deville,Desconocido,"['S.O.S. 18', 'Punisher 2 the Teaser', 'Nouvelle Maud', 'Femmes de loi']",['Reparto'],Desconocido,--
173,Djamila Kareb,Desconocido,['Feedback'],['Reparto'],Desconocido,--
174,Martial Odone,Desconocido,"['Asuntos pendientes', 'Izglïtïbas -Le chien qui pleure', 'Campeón de campeones (Chok Dee)', 'Nido de avispas']","['Reparto', 'Dirección', 'Guion']",Desconocido,--
175,Derek Forsyth,Desconocido,"['Quantum Savior', 'BulletFist: No Honor in Regret', 'Scorn Fatale']",['Reparto'],Desconocido,--
176,Jean Phoenix Le Grand,Desconocido,"['Beast: Chronicles of Parker', 'Equilibrium: Legacy', 'The Legend of Kung Funk', 'Secret War']","['Reparto', 'Especialistas', 'Dirección']",Desconocido,--
177,Vanessa Rolfe,Desconocido,"['Phoenix Falling', 'BulletFist: No Honor in Regret', 'A+', 'Film Contest?']","['Reparto', 'Guion']",Desconocido,--
178,Maria Romero,Desconocido,"['Film Contest?', 'Quantum Savior', 'BulletFist: No Honor in Regret']",['Reparto'],Desconocido,--
179,Renda Writer,Desconocido,"['BulletFist: No Honor in Regret', 'Fools Fall In', 'Split', 'Laid']","['Reparto', 'Guion']",Desconocido,--
180,Paul Hamy,1982,"['El ornitólogo', '9 dedos', 'Suzanne', 'Le divan de Staline']",['Reparto'],1 premio y 5 nominaciones,--
181,Coraline Allory,Desconocido,"[""Somebody's Puppet""]",['Reparto'],Desconocido,--
182,Flavien Belhomme,Desconocido,"[""Somebody's Puppet"", 'Une Partie De Bataille', 'Feu Pour Feu', 'Il Giorno Del Duello']",['Reparto'],Desconocido,--
183,Hassina Bouacida,Desconocido,"[""Somebody's Puppet"", 'Une Partie De Bataille', 'Sleepless Mind']",['Reparto'],Desconocido,--
184,Guillaume Cacheux,Desconocido,"[""Somebody's Puppet"", 'Reality Returns TV']",['Reparto'],Desconocido,--
185,Fabien Calise,Desconocido,"[""Somebody's Puppet"", 'Une Partie De Bataille', 'Justin Justin', 'Sleepless Mind']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Desconocido,--
186,Thomas Cantais,Desconocido,"[""Samantha's Week End"", ""Somebody's Puppet"", 'Reality Returns TV', 'Sleepless Mind']",['Reparto'],Desconocido,--
187,Maxime Durand,1987,"['Conscience Parasite', 'Lost Fort', 'Coming Soon', ""Samantha's Week End""]","['Reparto', 'Guion', 'Edición']",5 nominaciones,--
188,Jeremy Ferré,Desconocido,"[""Somebody's Puppet""]",['Reparto'],Desconocido,--
189,Ludwig Fleuret,Desconocido,"['Une Partie De Bataille', 'Outsider In', 'Reality Returns TV', ""Somebody's Puppet""]","['Reparto', 'Composición', 'Música']",Desconocido,--
190,Loïc Irvoas,Desconocido,"[""Somebody's Puppet"", ""Samantha's Week End"", '(Re)fraction', 'Furious Sharks']","['Reparto', 'Arte']",Desconocido,--
191,Jayson Argento,1971,"['The Cthulhu Chronicles: The Ropes', 'Finding Providence', 'El ojo de la ley', 'American Gun']","['Reparto', 'Dirección', 'Guion']",Desconocido,--
192,William Boardman,Desconocido,"['American Gun', 'Project Hex']",['Reparto'],Desconocido,--
193,Matt Labombard,Desconocido,['Project Hex'],['Reparto'],Desconocido,--
194,R.W. Martin,1965,"['The Zodiacs', 'Halloween Knight', 'Apocalypse Party', 'Tales of the Inexplicable']","['Reparto', 'Dirección', 'Guion']",2 premios,--
195,Emily Musty,Desconocido,[],['Reparto'],Desconocido,--
196,J. Louis Reid,Desconocido,"['The Human Race', 'The Nose', 'Improvising', 'The Confession Room']","['Reparto', 'Cámara y electricidad']",4 nominaciones,--
